id,playtime_forever
0,2.2343826293945312
1,3.4947469234466553
2,0.4918944537639618
3,0.6613040566444397
4,11.68870735168457
5,0.3960358500480652
6,0.42015162110328674
7,0.5474166870117188
8,2.626879930496216
9,4.714019775390625
10,0.5373256206512451
11,4.169755935668945
12,0.0
13,3.7954015731811523
14,10.047338485717773
15,0.0
16,0.4371510148048401
17,0.4248217046260834
18,0.3500474691390991
19,0.6111956238746643
20,0.562508761882782
21,4.007543087005615
22,1.806450605392456
23,0.37193745374679565
24,0.6883198618888855
25,0.7714563012123108
26,0.39521658420562744
27,0.37393468618392944
28,2.3174197673797607
29,2.93377423286438
30,1.5724701881408691
31,15.681468963623047
32,0.45969441533088684
33,0.37905043363571167
34,4.1496076583862305
35,0.33945855498313904
36,1.9071366786956787
37,9.38467025756836
38,0.38847875595092773
39,4.1766438484191895
40,6.551262855529785
41,4.089115142822266
42,1.1563329696655273
43,0.37411797046661377
44,0.36573347449302673
45,0.0
46,1.2280941009521484
47,0.8055406808853149
48,6.696335792541504
49,9.451637268066406
50,0.0
51,3.8031582832336426
52,3.5186712741851807
53,0.808559775352478
54,1.6536619663238525
55,0.6526315808296204
56,4.634746551513672
57,0.5807117819786072
58,0.004933357238769531
59,0.42642608284950256
60,0.6393097043037415
61,0.3690266013145447
62,0.5939046740531921
63,9.396330833435059
64,0.534437894821167
65,0.33696919679641724
66,1.6345446109771729
67,0.5503499507904053
68,0.4520253539085388
69,0.6991845965385437
70,0.691105842590332
71,11.061638832092285
72,0.41495633125305176
73,15.416150093078613
74,0.3729240894317627
75,13.768301963806152
76,14.280863761901855
77,7.88256311416626
78,0.6558990478515625
79,0.4507473111152649
80,0.38507843017578125
81,0.39255377650260925
82,0.556351900100708
83,11.28052043914795
84,5.257845878601074
85,3.4367947578430176
86,0.35906171798706055
87,10.556750297546387
88,0.0
89,5.72340202331543
